Record,Specimen_ID,User_ID,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Hand_Measurement_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Included
151,51,2,122.4,109.2,115,7.4,-5.8,6.43,-5.04,no
903,3,10,147.6,146.4,140,7.6,6.4,5.43,4.57,yes
1103,3,12,147.6,144.6,140,7.6,4.6,5.43,3.29,yes
154,54,2,138,132.9,130,8,2.9,6.15,2.23,no
155,55,2,130.3,127.8,130,0.3,-2.2,0.23,-1.69,no
1503,3,16,147.6,133.5,140,7.6,-6.5,5.43,-4.64,yes
157,57,2,130.3,122.5,115,15.3,7.5,13.3,6.52,no
2475,75,25,146.6,146.6,110,36.6,36.6,33.27,33.27,yes
975,75,10,146.6,125.7,110,36.6,15.7,33.27,14.27,yes
275,75,3,146.6,125.6,110,36.6,15.6,33.27,14.18,yes
675,75,7,146.6,123,110,36.6,13,33.27,11.82,yes
162,62,2,122.4,120,126,-3.6,-6,-2.86,-4.76,no
163,63,2,127.9,113.1,115,12.9,-1.9,11.22,-1.65,no
375,75,4,146.6,120.4,110,36.6,10.4,33.27,9.45,yes
575,75,6,146.6,115.5,110,36.6,5.5,33.27,5,yes
734,34,8,146.4,137.3,130,16.4,7.3,12.62,5.62,yes
834,34,9,146.4,136.2,130,16.4,6.2,12.62,4.77,yes
934,34,10,146.4,136.2,130,16.4,6.2,12.62,4.77,yes
169,69,2,523.6,117.1,120,403.6,-2.9,336.33,-2.42,no
170,70,2,141,136.2,140,1,-3.8,0.71,-2.71,no
171,71,2,151.1,140.8,147,4.1,-6.2,2.79,-4.22,no
172,72,2,205.9,154.8,147,58.9,7.8,40.07,5.31,no
173,73,2,280.5,145.6,137,143.5,8.6,104.74,6.28,no
174,74,2,229.3,146.7,146,83.3,0.7,57.05,0.48,no
175,75,2,146.6,116.7,110,36.6,6.7,33.27,6.09,no
176,76,2,153.7,152.9,126,27.7,26.9,21.98,21.35,no
177,77,2,677.7,134.4,155,522.7,-20.6,337.23,-13.29,no
178,78,2,148.6,127.2,128,20.6,-0.8,16.09,-0.62,no
179,79,2,139.1,128.6,129,10.1,-0.4,7.83,-0.31,no
180,80,2,152.6,128.4,128,24.6,0.4,19.22,0.31,no
181,81,2,195.4,127.5,120,75.4,7.5,62.83,6.25,no
182,82,2,165,156.4,165,0,-8.6,0,-5.21,no
183,83,2,750.4,143.7,130,620.4,13.7,477.23,10.54,no
34,34,1,146.4,131.6,130,16.4,1.6,12.62,1.23,yes
234,34,3,146.4,129.2,130,16.4,-0.8,12.62,-0.62,yes
134,34,2,146.4,128.1,130,16.4,-1.9,12.62,-1.46,yes
4,4,1,146,146,132,14,14,10.61,10.61,yes
188,88,2,123.9,120.1,163,-39.1,-42.9,-23.99,-26.32,no
189,89,2,554.3,134.2,120,434.3,14.2,361.92,11.83,no
190,90,2,1319.8,160,156,1163.8,4,746.03,2.56,no
204,4,3,146,146,132,14,14,10.61,10.61,yes
192,92,2,135.3,134.4,147,-11.7,-12.6,-7.96,-8.57,no
304,4,4,146,146,132,14,14,10.61,10.61,yes
194,94,2,132,122,128,4,-6,3.13,-4.69,no
195,95,2,558.3,558.3,128,430.3,430.3,336.17,336.17,no
196,96,2,128.2,126.8,125,3.2,1.8,2.56,1.44,no
404,4,5,146,146,132,14,14,10.61,10.61,yes
504,4,6,146,146,132,14,14,10.61,10.61,yes
199,99,2,124.7,117.8,115,9.7,2.8,8.43,2.43,no
604,4,7,146,146,132,14,14,10.61,10.61,yes
201,1,3,133.1,131.3,128,5.1,3.3,3.98,2.58,no
202,2,3,129.8,120.7,125,4.8,-4.3,3.84,-3.44,no
704,4,8,146,146,132,14,14,10.61,10.61,yes
804,4,9,146,146,132,14,14,10.61,10.61,yes
205,5,3,131.1,131.1,126,5.1,5.1,4.05,4.05,no
904,4,10,146,146,132,14,14,10.61,10.61,yes
207,7,3,137.8,131,135,2.8,-4,2.07,-2.96,no
1004,4,11,146,146,132,14,14,10.61,10.61,yes
1104,4,12,146,146,132,14,14,10.61,10.61,yes
1204,4,13,146,146,132,14,14,10.61,10.61,yes
211,11,3,142.9,142.9,131,11.9,11.9,9.08,9.08,no
1304,4,14,146,146,132,14,14,10.61,10.61,yes
1404,4,15,146,146,132,14,14,10.61,10.61,yes
1604,4,17,146,146,132,14,14,10.61,10.61,yes
215,15,3,109.2,105.4,102,7.2,3.4,7.06,3.33,no
1704,4,18,146,146,132,14,14,10.61,10.61,yes
217,17,3,112.9,110.5,111,1.9,-0.5,1.71,-0.45,no
1904,4,20,146,146,132,14,14,10.61,10.61,yes
219,19,3,135.8,134.5,140,-4.2,-5.5,-3,-3.93,no
220,20,3,131.6,130.2,123,8.6,7.2,6.99,5.85,no
2004,4,21,146,146,132,14,14,10.61,10.61,yes
2104,4,22,146,146,132,14,14,10.61,10.61,yes
2204,4,23,146,146,132,14,14,10.61,10.61,yes
224,24,3,120.1,106.5,109,11.1,-2.5,10.18,-2.29,no
2304,4,24,146,146,132,14,14,10.61,10.61,yes
226,26,3,123.6,123.6,124,-0.4,-0.4,-0.32,-0.32,no
2404,4,25,146,146,132,14,14,10.61,10.61,yes
104,4,2,146,143.1,132,14,11.1,10.61,8.41,yes
1804,4,19,146,142.5,132,14,10.5,10.61,7.95,yes
230,30,3,121.9,110.5,118,3.9,-7.5,3.31,-6.36,no
1504,4,16,146,132.2,132,14,0.2,10.61,0.15,yes
1738,38,18,146,146,123,23,23,18.7,18.7,yes
233,33,3,137.3,130.1,133,4.3,-2.9,3.23,-2.18,no
938,38,10,146,139.9,123,23,16.9,18.7,13.74,yes
235,35,3,136.2,128.6,125,11.2,3.6,8.96,2.88,no
838,38,9,146,138.9,123,23,15.9,18.7,12.93,yes
238,38,3,146,128.4,123,23,5.4,18.7,4.39,yes
1338,38,14,146,127.7,123,23,4.7,18.7,3.82,yes
239,39,3,129.2,129.2,120,9.2,9.2,7.67,7.67,no
240,40,3,173.3,156.8,152,21.3,4.8,14.01,3.16,no
1538,38,16,146,126.3,123,23,3.3,18.7,2.68,yes
242,42,3,121.7,115.3,120,1.7,-4.7,1.42,-3.92,no
243,43,3,117.2,112.6,112,5.2,0.6,4.64,0.54,no
244,44,3,157.5,154.3,145,12.5,9.3,8.62,6.41,no
245,45,3,141.1,133,146,-4.9,-13,-3.36,-8.9,no
246,46,3,113.1,113.1,110,3.1,3.1,2.82,2.82,no
247,47,3,135.2,131.4,135,0.2,-3.6,0.15,-2.67,no
1052,52,11,143.9,145.4,141,2.9,4.4,2.06,3.12,yes
1352,52,14,143.9,145.2,141,2.9,4.2,2.06,2.98,yes
250,50,3,122.2,120,120,2.2,0,1.83,0,no
251,51,3,122.4,122.7,115,7.4,7.7,6.43,6.7,no
1152,52,12,143.9,144.5,141,2.9,3.5,2.06,2.48,yes
253,53,3,132,128,130,2,-2,1.54,-1.54,no
254,54,3,138,127.3,130,8,-2.7,6.15,-2.08,no
255,55,3,130.3,125.8,130,0.3,-4.2,0.23,-3.23,no
52,52,1,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
257,57,3,130.3,124.6,115,15.3,9.6,13.3,8.35,no
258,58,3,128.7,122.3,125,3.7,-2.7,2.96,-2.16,no
152,52,2,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
352,52,4,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
261,61,3,133.7,133.7,125,8.7,8.7,6.96,6.96,no
262,62,3,122.4,116.8,126,-3.6,-9.2,-2.86,-7.3,no
263,63,3,127.9,110.1,115,12.9,-4.9,11.22,-4.26,no
264,64,3,121.8,115.6,130,-8.2,-14.4,-6.31,-11.08,no
265,65,3,116.2,116.2,115,1.2,1.2,1.04,1.04,no
452,52,5,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
552,52,6,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
268,68,3,103.8,92.6,105,-1.2,-12.4,-1.14,-11.81,no
269,69,3,523.6,116.5,120,403.6,-3.5,336.33,-2.92,no
270,70,3,141,141,140,1,1,0.71,0.71,no
271,71,3,151.1,138.6,147,4.1,-8.4,2.79,-5.71,no
272,72,3,205.9,155.8,147,58.9,8.8,40.07,5.99,no
652,52,7,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
752,52,8,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
1252,52,13,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
1452,52,15,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
277,77,3,677.7,139.9,155,522.7,-15.1,337.23,-9.74,no
278,78,3,148.6,148.6,128,20.6,20.6,16.09,16.09,no
279,79,3,139.1,127.1,129,10.1,-1.9,7.83,-1.47,no
1652,52,17,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
281,81,3,195.4,142.9,120,75.4,22.9,62.83,19.08,no
282,82,3,165,165,165,0,0,0,0,no
283,83,3,750.4,739.1,130,620.4,609.1,477.23,468.54,no
1752,52,18,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
2052,52,21,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
2152,52,22,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
2252,52,23,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
2452,52,25,143.9,143.9,141,2.9,2.9,2.06,2.06,yes
289,89,3,554.3,144.8,120,434.3,24.8,361.92,20.67,no
290,90,3,1319.8,164.9,156,1163.8,8.9,746.03,5.71,no
2352,52,24,143.9,143.6,141,2.9,2.6,2.06,1.84,yes
292,92,3,135.3,123.7,147,-11.7,-23.3,-7.96,-15.85,no
293,93,3,139,139,137,2,2,1.46,1.46,no
1852,52,19,143.9,143.2,141,2.9,2.2,2.06,1.56,yes
295,95,3,558.3,125.3,128,430.3,-2.7,336.17,-2.11,no
296,96,3,128.2,130,125,3.2,5,2.56,4,no
252,52,3,143.9,141.2,141,2.9,0.2,2.06,0.14,yes
298,98,3,138.8,135.4,140,-1.2,-4.6,-0.86,-3.29,no
299,99,3,124.7,109.9,115,9.7,-5.1,8.43,-4.43,no
1952,52,20,143.9,140.9,141,2.9,-0.1,2.06,-0.07,yes
1552,52,16,143.9,136.7,141,2.9,-4.3,2.06,-3.05,yes
952,52,10,143.9,122.2,141,2.9,-18.8,2.06,-13.33,yes
911,11,10,142.9,133,131,11.9,2,9.08,1.53,yes
1311,11,14,142.9,127.9,131,11.9,-3.1,9.08,-2.37,yes
1145,45,12,141.1,147.5,146,-4.9,1.5,-3.36,1.03,yes
1045,45,11,141.1,146.7,146,-4.9,0.7,-3.36,0.48,yes
1345,45,14,141.1,145.6,146,-4.9,-0.4,-3.36,-0.27,yes
745,45,8,141.1,143,146,-4.9,-3,-3.36,-2.05,yes
309,9,4,136.2,121,125,11.2,-4,8.96,-3.2,no
1845,45,19,141.1,142.5,146,-4.9,-3.5,-3.36,-2.4,yes
311,11,4,142.9,132.2,131,11.9,1.2,9.08,0.92,no
2045,45,21,141.1,141.9,146,-4.9,-4.1,-3.36,-2.81,yes
45,45,1,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
145,45,2,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
345,45,4,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
645,45,7,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
1745,45,18,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
2145,45,22,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
319,19,4,135.8,135.8,140,-4.2,-4.2,-3,-3,no
2345,45,24,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
2445,45,25,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,yes
1445,45,15,141.1,138.5,146,-4.9,-7.5,-3.36,-5.14,yes
1245,45,13,141.1,138,146,-4.9,-8,-3.36,-5.48,yes
324,24,4,120.1,107.6,109,11.1,-1.4,10.18,-1.28,no
1645,45,17,141.1,138,146,-4.9,-8,-3.36,-5.48,yes
326,26,4,123.6,115.4,124,-0.4,-8.6,-0.32,-6.94,no
1945,45,20,141.1,138,146,-4.9,-8,-3.36,-5.48,yes
2470,70,25,141,161.1,140,1,21.1,0.71,15.07,yes
1770,70,18,141,144.1,140,1,4.1,0.71,2.93,yes
330,30,4,121.9,108.3,118,3.9,-9.7,3.31,-8.22,no
1870,70,19,141,143.5,140,1,3.5,0.71,2.5,yes
2370,70,24,141,143.2,140,1,3.2,0.71,2.29,yes
1070,70,11,141,142.8,140,1,2.8,0.71,2,yes
334,34,4,146.4,126.5,130,16.4,-3.5,12.62,-2.69,no
670,70,7,141,141.5,140,1,1.5,0.71,1.07,yes
370,70,4,141,141,140,1,1,0.71,0.71,yes
770,70,8,141,141,140,1,1,0.71,0.71,yes
338,38,4,146,134.3,123,23,11.3,18.7,9.19,no
1370,70,14,141,141,140,1,1,0.71,0.71,yes
340,40,4,173.3,160.9,152,21.3,8.9,14.01,5.86,no
2270,70,23,141,140.4,140,1,0.4,0.71,0.29,yes
1170,70,12,141,139.3,140,1,-0.7,0.71,-0.5,yes
343,43,4,117.2,109.8,112,5.2,-2.2,4.64,-1.96,no
70,70,1,141,137.3,140,1,-2.7,0.71,-1.93,yes
870,70,9,141,104.7,140,1,-35.3,0.71,-25.21,yes
1137,37,12,139.9,148.2,145,-5.1,3.2,-3.52,2.21,yes
1037,37,11,139.9,147.8,145,-5.1,2.8,-3.52,1.93,yes
1337,37,14,139.9,143.5,145,-5.1,-1.5,-3.52,-1.03,yes
1937,37,20,139.9,143.2,145,-5.1,-1.8,-3.52,-1.24,yes
537,37,6,139.9,140.7,145,-5.1,-4.3,-3.52,-2.97,yes
37,37,1,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
137,37,2,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
237,37,3,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
337,37,4,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
637,37,7,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
737,37,8,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
1237,37,13,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
1437,37,15,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
1637,37,17,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
1737,37,18,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
1837,37,19,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
2037,37,21,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
363,63,4,127.9,116.5,115,12.9,1.5,11.22,1.3,no
2237,37,23,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
2337,37,24,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
2437,37,25,139.9,139.9,145,-5.1,-5.1,-3.52,-3.52,yes
2137,37,22,139.9,136.6,145,-5.1,-8.4,-3.52,-5.79,yes
837,37,9,139.9,124.9,145,-5.1,-20.1,-3.52,-13.86,yes
369,69,4,523.6,117.2,120,403.6,-2.8,336.33,-2.33,no
937,37,10,139.9,124.9,145,-5.1,-20.1,-3.52,-13.86,yes
879,79,9,139.1,129.4,129,10.1,0.4,7.83,0.31,yes
372,72,4,205.9,145.4,147,58.9,-1.6,40.07,-1.09,no
373,73,4,280.5,150.7,137,143.5,13.7,104.74,10,no
374,74,4,229.3,140.8,146,83.3,-5.2,57.05,-3.56,no
379,79,4,139.1,126.1,129,10.1,-2.9,7.83,-2.25,yes
376,76,4,153.7,140.8,126,27.7,14.8,21.98,11.75,no
377,77,4,677.7,130.5,155,522.7,-24.5,337.23,-15.81,no
378,78,4,148.6,125.3,128,20.6,-2.7,16.09,-2.11,no
679,79,7,139.1,123.9,129,10.1,-5.1,7.83,-3.95,yes
1393,93,14,139,146.4,137,2,9.4,1.46,6.86,yes
381,81,4,195.4,127.5,120,75.4,7.5,62.83,6.25,no
382,82,4,165,165,165,0,0,0,0,no
383,83,4,750.4,127.9,130,620.4,-2.1,477.23,-1.62,no
793,93,8,139,143.6,137,2,6.6,1.46,4.82,yes
1193,93,12,139,143.5,137,2,6.5,1.46,4.74,yes
1893,93,19,139,143.2,137,2,6.2,1.46,4.53,yes
2093,93,21,139,143.2,137,2,6.2,1.46,4.53,yes
493,93,5,139,142.5,137,2,5.5,1.46,4.01,yes
389,89,4,554.3,138.6,120,434.3,18.6,361.92,15.5,no
390,90,4,1319.8,163.2,156,1163.8,7.2,746.03,4.62,no
93,93,1,139,139,137,2,2,1.46,1.46,yes
392,92,4,135.3,127.1,147,-11.7,-19.9,-7.96,-13.54,no
193,93,2,139,139,137,2,2,1.46,1.46,yes
394,94,4,132,121.1,128,4,-6.9,3.13,-5.39,no
395,95,4,558.3,127.1,128,430.3,-0.9,336.17,-0.7,no
393,93,4,139,139,137,2,2,1.46,1.46,yes
593,93,6,139,139,137,2,2,1.46,1.46,yes
693,93,7,139,139,137,2,2,1.46,1.46,yes
893,93,9,139,139,137,2,2,1.46,1.46,yes
